% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 16:42"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
4.61,7.909889288279639E-41
4.62,9.23891136764186E-41
4.63,1.0555456298884415E-40
4.64,1.1837659870664074E-40
4.65,1.3063657871637653E-40
4.66,1.4211586090462233E-40
4.67,1.5259580315794147E-40
4.68,1.6185776336290662E-40
4.69,1.6968309940608525E-40
4.7,1.7585316917404437E-40
4.71,1.8014933055335367E-40
4.72,1.8235294143058007E-40
4.73,1.8224535969229437E-40
4.74,1.7960794322506004E-40
4.75,1.7422204991544961E-40
4.76,1.6586903765003162E-40
4.7700000000000005,1.543302643153718E-40
4.78,1.3938708779804107E-40
4.79,1.2082086598460757E-40
4.8,9.841295676163652E-41
4.8100000000000005,7.194471801569603E-41
4.82,4.1197507633360015E-41
4.83,5.952683501193373E-42
4.84,-3.4008396494235194E-41
4.8500000000000005,-7.89043744663617E-41
4.86,-1.289538925286109E-40
4.87,-1.843755927944155E-40
4.88,-2.4538811737721022E-40
4.89,-3.1221010839042446E-40
4.9,-3.850602079474977E-40
4.91,-4.641570581618501E-40
4.92,-5.4971930114691724E-40
4.93,-6.4196557901613E-40
4.94,-7.411145338829366E-40
4.95,-8.473848078607326E-40
4.96,-9.609950430629765E-40
4.97,-1.0821638816030992E-39
4.98,-1.2111099655945409E-39
4.99,-1.3480519371506912E-39
5,-1.4932084383850285E-39
5.01,-1.2379640514290089E-39
5.0200000000000005,-2.225559601965704E-40
5.03,1.479518290524855E-39
5.04,3.794761155948081E-39
5.05,6.649675091285765E-39
5.0600000000000005,9.970762551751112E-39
5.07,1.368452599255613E-38
5.08,1.7717467868913797E-38
5.09,2.1996090636036956E-38
5.1000000000000005,2.6446896749138393E-38
5.11,3.09963886634313E-38
5.12,3.557106883412724E-38
5.13,4.009743971643948E-38
5.14,4.4502003765581216E-38
5.15,4.87112634367651E-38
5.16,5.26517211852033E-38
5.17,5.624987946610903E-38
5.18,5.943224073469392E-38
5.19,6.212530744617248E-38
5.2,6.425558205575618E-38
5.21,6.574956701865945E-38
5.22,6.653376479009232E-38
5.23,6.653467782526906E-38
5.24,6.567880857940235E-38
5.25,6.38926595077056E-38
5.26,6.110273306539008E-38
5.2700000000000005,5.723553170766986E-38
5.28,5.221755788975639E-38
5.29,4.597531406686381E-38
5.3,3.843530269420377E-38
5.3100000000000005,2.9524026226988977E-38
5.32,1.916798712043283E-38
5.33,7.293687829748082E-39
5.34,-6.172369189852801E-39
5.3500000000000005,-2.1303681483158428E-38
5.36,-3.8173746594953636E-38
5.37,-5.685606207002636E-38
5.38,-7.742412545316438E-38
5.39,-9.995143428915414E-38
5.4,-1.2451148612278695E-37
5.41,-1.5117777849884402E-37
5.42,-1.8002380896211599E-37
5.43,-2.1112307505738844E-37
5.44,-2.445490743294532E-37
5.45,-2.803753043230908E-37
5.46,-3.1867526258309245E-37
5.47,-3.5952244665424364E-37
5.48,-4.029903540813398E-37
5.49,-4.491524824091523E-37
5.5,-4.980823291824794E-37
5.51,-4.781952611465018E-37
5.5200000000000005,-3.264403755560677E-37
5.53,-5.569176572048762E-38
5.54,3.21176475050949E-37
5.55,7.912902534489526E-37
5.5600000000000005,1.3417754761642706E-36
5.57,1.9597580498875217E-36
5.58,2.6323638813094616E-36
5.59,3.346718877120786E-36
5.6000000000000005,4.0899489440123164E-36
5.61,4.849179988674485E-36
5.62,5.6115379177982606E-36
5.63,6.364148638074158E-36
5.64,7.094138056193118E-36
5.65,7.788632078845673E-36
