% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 15 2026, 13:46"
% Table,Table_c_Pipe_1 - c_Pipe_1
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3),c_Pipe_1_Biff_2 (mol/m^3)
3.14,0.9994760040128354,0.9673858041427453,0.9628369009896954
3.15,0.9994948453173239,0.9725846666207281,0.9682721807883272
3.16,0.9995136866218092,0.9774389913312239,0.973361288622728
3.17,0.9995325279262965,0.9819487782742339,0.9781042244928975
3.18,0.999551369230784,0.9861140274497581,0.982500988398836
3.19,0.9995702105352701,0.9899347388577963,0.9865515803405431
3.2,0.9995890518397578,0.9934109124983472,0.9902560003180184
3.21,0.9996078931442438,0.9965425483714124,0.9936142483312633
3.22,0.9996267344487293,0.9993296464769921,0.996626324380278
3.23,0.9996455757532167,1.001772206815085,0.99929222846506
3.24,0.9996644170577033,1.0039087540507126,1.0016487014828575
3.25,0.9996832583621904,1.0062636207194031,1.004195798341354
3.2600000000000002,0.9997020996666763,1.0083771778915673,1.0064951718345687
3.27,0.9997209409711637,1.0102494255672074,1.0085468219625011
3.2800000000000002,0.9997397822756507,1.0118803637463223,1.0103507487251502
3.29,0.9997586235801378,1.0132699924289121,1.0119069521225175
3.3000000000000003,0.9997774648846238,1.0144183116149772,1.0132154321546019
3.31,0.9997963061891115,1.0153253213045166,1.0142761888214047
3.3200000000000003,0.9998151474935969,1.015991021497531,1.015089222122924
3.33,0.9998339887980844,1.0164154121940208,1.0156545320591608
3.34,0.9998528301025709,1.0165984933939853,1.0159721186301158
3.35,0.9998673578077196,1.0168821317338081,1.0163809902176828
3.36,0.9998691982137389,1.0172789412839789,1.0168936554295205
3.37,0.9998710386197582,1.0175447042593342,1.0172679383193162
3.38,0.9998728790257776,1.0176794206598738,1.0175038388870707
3.39,0.999874719431797,1.0176830904855967,1.0176013571327847
3.4,0.9998765598378154,1.0175557137365039,1.0175604930564572
3.41,0.9998784002438348,1.0172972904125945,1.017381246658088
3.42,0.9998802406498539,1.0169078205138702,1.0170636179376773
3.43,0.999882081055874,1.0163873040403275,1.0166076068952266
3.44,0.9998839214618944,1.0157357409919705,1.0160132135307338
3.45,0.9998857618679131,1.0149758057722031,1.0153035332550533
3.46,0.9998876022739321,1.0145635526473118,1.0149430881313641
3.47,0.9998894426799522,1.01410662843457,1.0145322399512153
3.48,0.9998912830859715,1.0136050331339768,1.014070988714606
3.49,0.9998931234919902,1.0130587667455324,1.0135593344215368
3.5,0.9998949638980096,1.0124678292692375,1.012997277072008
3.5100000000000002,0.9998968043040283,1.0118322207050914,1.0123848166660188
3.52,0.9998986447100485,1.0111519410530947,1.01172195320357
3.5300000000000002,0.9999004851160692,1.0104269903132468,1.0110086866846608
3.54,0.9999023255220875,1.0096573684855477,1.0102450171092923
3.5500000000000003,0.9999041659281057,1.0088430755699975,1.009430944477463
3.56,0.9999060063341254,1.0082857222608894,1.0088640802099245
3.5700000000000003,0.9999078467401448,1.00797572659489,1.0085398369064498
3.58,0.9999096871461646,1.0076657309288914,1.0082155936029755
3.59,0.9999115275521839,1.0073557352628926,1.0078913502995013
3.6,0.9999133679582031,1.0070457395968935,1.0075671069960266
3.61,0.999915208364222,1.0067357439308953,1.007242863692552
3.62,0.999917048770242,1.0064257482648957,1.0069186203890779
3.63,0.9999188891762603,1.0061157525988969,1.0065943770856036
3.64,0.9999207295822792,1.0058057569328984,1.0062701337821294
3.65,0.9999225699883003,1.0054957612668995,1.0059458904786556
3.66,0.999924410394319,1.0051857656009004,1.0056216471751807
3.67,0.9999262508003378,1.0048757699349018,1.0052974038717057
3.68,0.9999280912063576,1.0045657742689025,1.0049731605682315
3.69,0.999929931612377,1.0042557786029034,1.004648917264757
3.7,0.9999317720183957,1.0039457829369047,1.0043246739612823
3.71,0.9999336124244153,1.0036357872709063,1.0040004306578085
3.72,0.9999354528304353,1.0033257916049074,1.0036761873543338
3.73,0.9999372932364544,1.003015795938908,1.0033519440508596
3.74,0.9999391336424738,1.0027058002729097,1.003027700747385
3.75,0.9999409740484934,1.0023958046069104,1.0027034574439104
3.7600000000000002,0.9999428144545116,1.0020858089409115,1.0023792141404362
3.77,0.9999446548605316,1.0018924164125937,1.002174097920453
3.7800000000000002,0.9999464952665509,1.0018073147494653,1.0020796165872776
3.79,0.9999483356725705,1.0017222130863361,1.0019851352541014
3.8000000000000003,0.99995017607859,1.0016371114232079,1.0018906539209258
3.81,0.9999520164846092,1.0015520097600796,1.00179617258775
3.8200000000000003,0.9999538568906288,1.0014669080969507,1.0017016912545749
3.83,0.9999556972966475,1.001381806433822,1.0016072099213988
3.84,0.9999575377026666,1.001296704770694,1.001512728588224
3.85,0.9999593781086862,1.0012116031075657,1.0014182472550481
3.86,0.9999612185147055,1.0011265014444368,1.001323765921872
3.87,0.9999630589207245,1.0010413997813083,1.001229284588697
3.88,0.9999648993267447,1.0009562981181797,1.0011348032555212
3.89,0.9999667397327633,1.0008711964550512,1.0010403219223454
3.9,0.9999685801387836,1.0007860947919227,1.0009458405891698
3.91,0.9999704205448035,1.0007009931287945,1.0008513592559947
