% Model,COMSOL_3D_CNN_Design_3_Phase_1.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 11 2026, 14:52"
% Table,Table 9 - Concentration_CNN
% Time (s),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3)
10.700000000000001,1.5858875909965608E-4,0.001070328091218513,0.0011363003542631813,0.00111496125917285,2.111205934465366E-4,0.001123148170698376,8.778938718204663E-4,1.299721356085138E-4
10.8,1.5850934825571995E-4,0.0010380567669060203,0.0011294847161136214,0.001110974542869013,2.115765919800486E-4,0.00114169805248125,9.445962486529247E-4,1.3203517220567536E-4
10.9,1.5844832795283795E-4,0.0010053139097783094,0.0011175185698407083,0.0011004571032999658,2.1229386263772913E-4,0.0011533489292128087,0.0010063194625912822,1.3397764141199673E-4
11,1.5839264303720965E-4,9.74821121170107E-4,0.0011008138668189625,0.001084840636130054,2.1344111070956487E-4,0.001158743483652479,0.001060624935063012,1.3579577891662472E-4
11.100000000000001,1.5832726758500213E-4,9.480816867433932E-4,0.001079522552616211,0.0010647838956276455,2.152820289629534E-4,0.0011583463601093343,0.001106030235066812,1.3748425982310934E-4
11.200000000000001,1.5823620372355882E-4,9.243795525982289E-4,0.001053850065486315,0.0010407481429940083,2.182108638812097E-4,0.0011534148750220869,0.0011420140359653936,1.3904051594426E-4
11.3,1.5810492324929906E-4,9.011406345113789E-4,0.0010242046421964728,0.0010133501042486179,2.2280763597785786E-4,0.0011459608238954338,0.001168516143006005,1.4046445662256455E-4
11.4,1.57925851953317E-4,8.757936974203674E-4,9.913069114546734E-4,9.832553396227847E-4,2.2984976545669343E-4,0.0011377727225874265,0.001185911677907264,1.4175696878038555E-4
11.5,1.5770933867131364E-4,8.479206023052467E-4,9.561527904102706E-4,9.512223300412831E-4,2.4037085129959823E-4,0.001130675128956126,0.0011947456164608386,1.4291925841518723E-4
11.600000000000001,1.5750318658155758E-4,8.193649156762705E-4,9.198769112765428E-4,9.179784048798569E-4,2.5559870116089204E-4,0.001126585996888095,0.0011954585559300081,1.4395294613024667E-4
11.700000000000001,1.574245943107626E-4,7.930791979706375E-4,8.835143223796991E-4,8.841564666264075E-4,2.7656496126656833E-4,0.0011274514867432822,0.0011884963609667856,1.448606042887043E-4
