% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 16 2026, 17:05"
% Table,c_Pipe_1_Sensor - c_Pipe_1_Sensor
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3)
2.99,0.9018510272531237,0.7840431482324242
3,0.902869796082461,0.7856972234223502
3.0100000000000002,0.9038752493714856,0.7873388292574081
3.02,0.9048682461694056,0.7889667261153898
3.0300000000000002,0.9058489953382173,0.7905790249577301
3.04,0.9068170933552855,0.7921757257844191
3.0500000000000003,0.9077726034440127,0.7937568285954736
3.06,0.9087169054770889,0.7953223333908783
3.0700000000000003,0.9096492011176853,0.796872240170641
3.08,0.910569490365815,0.7984077485912222
3.09,0.9114783356660227,0.7999330332587068
3.1,0.9123761815388524,0.8014441966336255
3.11,0.9132625871535625,0.8029412387159842
3.12,0.9141375525101688,0.8044241595057708
3.13,0.9150022487373013,0.8058929590029994
3.14,0.9158561407884456,0.8073476372076546
3.15,0.9166991559176918,0.808788194119749
3.16,0.9175316873290315,0.8102183283721316
3.17,0.9183544120145033,0.8116367746249147
3.18,0.9191668132682466,0.8130423331868045
3.19,0.919968891090236,0.8144350040578137
3.2,0.9207614501989027,0.8158147872379315
3.21,0.9215443055652403,0.8171816827271602
3.22,0.9223172999925754,0.8185356905254966
3.23,0.9230806516786346,0.8198778354922981
3.24,0.9238351612000052,0.8212108425838095
3.25,0.9245803014738024,0.8225320254322263
3.2600000000000002,0.9253160725000545,0.823841384037552
3.27,0.9260431133563961,0.8251389183997793
3.2800000000000002,0.9267614766919999,0.8264246285189034
3.29,0.9274709216483267,0.8276985143949406
3.3000000000000003,0.9281715276027152,0.8289605760278773
3.31,0.9288641148814691,0.8302136721387094
3.3200000000000003,0.9295481938590306,0.8314566032164109
3.33,0.9302237645354092,0.8326886120383415
3.34,0.93089132434473,0.8339096986045086
3.35,0.931551142176166,0.8351198629148939
3.36,0.9322028993002118,0.8363191049695077
3.37,0.9328465957168843,0.8375074247683542
3.38,0.9334830927052336,0.8386857300690467
3.39,0.9341119327018192,0.8398558867204108
3.4,0.9347331001039851,0.8410159341525427
3.41,0.9353469057050373,0.8421658723654711
3.42,0.9359537473453928,0.8433057013592004
3.43,0.936553294622853,0.8444354211337057
3.44,0.9371455475374162,0.8455550316890035
3.45,0.9377312176060006,0.8466645330250934
3.46,0.9383100708685727,0.8477663079493317
3.47,0.9388820095250339,0.8488591893577987
3.48,0.9394472161250862,0.8499426745504299
3.49,0.9400061799450092,0.8510167635272256
3.5,0.9405585619833914,0.8520814562881875
3.5100000000000002,0.9411043622402291,0.8531367528333154
3.52,0.9416441102496704,0.8541826531625989
