% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 19:48"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
88.05,0.9971505115621027
88.06,0.9971505115621027
88.07000000000001,0.9971505115621027
88.08,0.9971505115621027
88.09,0.9971505115621027
88.10000000000001,0.9971505115621027
88.11,0.9971505115621027
88.12,0.9971505115621027
88.13,0.9971505115621027
88.14,0.9971505115621027
88.15,0.9971505115621027
88.16,0.9971505115621027
88.17,0.9971505115621027
88.18,0.9971505115621027
88.19,0.9971505115621027
88.2,0.9971505115621027
88.21000000000001,0.9971505115621027
88.22,0.9971505115621027
88.23,0.9971505115621027
88.24,0.9971505115621027
88.25,0.9971505115621027
88.26,0.9971505115621027
88.27,0.9971505115621027
88.28,0.9971505115621027
88.29,0.9971505115621027
88.3,0.9971505115621027
88.31,0.9971505115621027
88.32000000000001,0.9971505115621027
88.33,0.9971505115621027
88.34,0.9971505115621027
88.35000000000001,0.9971505115621027
88.36,0.9971505115621027
88.37,0.9971505115621027
88.38,0.9971505115621027
88.39,0.9971505115621027
88.4,0.9971505115621027
88.41,0.9971505115621027
88.42,0.9971505115621027
88.43,0.9971505115621027
88.44,0.9971505115621027
88.45,0.9971505115621027
88.46000000000001,0.9971505115621027
88.47,0.9971505115621027
88.48,0.9971505115621027
88.49,0.9971505115621027
88.5,0.9971505115621027
88.51,0.9971505115621027
88.52,0.9971505115621027
88.53,0.9971505115621027
88.54,0.9971505115621027
88.55,0.9971505115621027
88.56,0.9971505115621027
88.57000000000001,0.9971505115621027
88.58,0.9971505115621027
88.59,0.9971505115621027
88.60000000000001,0.9971505115621027
88.61,0.9971505115621027
88.62,0.9971505115621027
88.63,0.9971505115621027
88.64,0.9971505115621027
88.65,0.9971505115621027
88.66,0.9971505115621027
88.67,0.9971505115621027
88.68,0.9971505115621027
88.69,0.9971505115621027
88.7,0.9971505115621027
88.71000000000001,0.9971505115621027
88.72,0.9971505115621027
88.73,0.9971505115621027
88.74,0.9971505115621027
88.75,0.9971505115621027
88.76,0.9971505115621027
88.77,0.9971505115621027
88.78,0.9971505115621027
88.79,0.9971505115621027
88.8,0.9971505115621027
88.81,0.9971505115621027
88.82000000000001,0.9971505115621027
88.83,0.9971505115621027
88.84,0.9971505115621027
88.85000000000001,0.9971505115621027
88.86,0.9971505115621027
88.87,0.9971505115621027
88.88,0.9971505115621027
88.89,0.9971505115621027
88.9,0.9971505115621027
88.91,0.9971505115621027
88.92,0.9971505115621027
88.93,0.9971505115621027
88.94,0.9971505115621027
88.95,0.9971505115621027
88.96000000000001,0.9971505115621027
88.97,0.9971505115621027
88.98,0.9971505115621027
88.99,0.9971505115621027
89,0.9971505115621027
89.01,0.9971505115621027
89.02,0.9971505115621027
89.03,0.9971505115621027
89.04,0.9971505115621027
89.05,0.9971505115621027
89.06,0.9971505115621027
89.07000000000001,0.9971505115621027
89.08,0.9971505115621027
89.09,0.9971505115621027
89.10000000000001,0.9971505115621027
89.11,0.9971505115621027
89.12,0.9971505115621027
89.13,0.9971505115621027
89.14,0.9971505115621027
89.15,0.9971505115621027
89.16,0.9971505115621027
89.17,0.9971505115621027
89.18,0.9971505115621027
89.19,0.9971505115621027
89.2,0.9971505115621027
89.21000000000001,0.9971505115621027
89.22,0.9971505115621027
89.23,0.9971505115621027
89.24,0.9971505115621027
89.25,0.9971505115621027
89.26,0.9971505115621027
89.27,0.9971505115621027
89.28,0.9971505115621027
89.29,0.9971505115621027
89.3,0.9971505115621027
89.31,0.9971505115621027
89.32000000000001,0.9971505115621027
89.33,0.9971505115621027
89.34,0.9971505115621027
89.35000000000001,0.9971505115621027
89.36,0.9971505115621027
89.37,0.9971505115621027
89.38,0.9971505115621027
89.39,0.9971505115621027
89.4,0.9971505115621027
89.41,0.9971505115621027
89.42,0.9971505115621027
89.43,0.9971505115621027
89.44,0.9971505115621027
89.45,0.9971505115621027
89.46000000000001,0.9971505115621027
89.47,0.9971505115621027
89.48,0.9971505115621027
89.49,0.9971505115621027
89.5,0.9971505115621027
89.51,0.9971505115621027
89.52,0.9971505115621027
89.53,0.9971505115621027
89.54,0.9971505115621027
89.55,0.9971505115621027
89.56,0.9971505115621027
89.57000000000001,0.9971505115621027
89.58,0.9971505115621027
89.59,0.9971505115621027
89.60000000000001,0.9971505115621027
89.61,0.9971505115621027
89.62,0.9971505115621027
89.63,0.9971505115621027
89.64,0.9971505115621027
89.65,0.9971505115621027
89.66,0.9971505115621027
89.67,0.9971505115621027
89.68,0.9971505115621027
89.69,0.9971505115621027
89.7,0.9971505115621027
89.71000000000001,0.9971505115621027
89.72,0.9971505115621027
89.73,0.9971505115621027
89.74,0.9971505115621027
89.75,0.9971505115621027
89.76,0.9971505115621027
89.77,0.9971505115621027
89.78,0.9971505115621027
89.79,0.9971505115621027
89.8,0.9971505115621027
89.81,0.9971505115621027
89.82000000000001,0.9971505115621027
89.83,0.9971505115621027
89.84,0.9971505115621027
89.85000000000001,0.9971505115621027
89.86,0.9971505115621027
89.87,0.9971505115621027
89.88,0.9971505115621027
89.89,0.9971505115621027
89.9,0.9971505115621027
89.91,0.9971505115621027
89.92,0.9971505115621027
89.93,0.9971505115621027
89.94,0.9971505115621027
89.95,0.9971505115621027
89.96000000000001,0.9971505115621027
89.97,0.9971505115621027
89.98,0.9971505115621027
89.99,0.9971505115621027
90,0.9971505115621027
90.01,0.9971505115621027
90.02,0.9971505115621027
90.03,0.9971505115621027
90.04,0.9971505115621027
90.05,0.9971505115621027
90.06,0.9971505115621027
90.07000000000001,0.9971505115621027
90.08,0.9971505115621027
90.09,0.9971505115621027
90.10000000000001,0.9971505115621027
90.11,0.9971505115621027
90.12,0.9971505115621027
90.13,0.9971505115621027
90.14,0.9971505115621027
90.15,0.9971505115621027
90.16,0.9971505115621027
90.17,0.9971505115621027
90.18,0.9971505115621027
90.19,0.9971505115621027
90.2,0.9971505115621027
90.21000000000001,0.9971505115621027
90.22,0.9971505115621027
90.23,0.9971505115621027
90.24,0.9971505115621027
90.25,0.9971505115621027
90.26,0.9971505115621027
90.27,0.9971505115621027
90.28,0.9971505115621027
90.29,0.9971505115621027
90.3,0.9971505115621027
90.31,0.9971505115621027
90.32000000000001,0.9971505115621027
90.33,0.9971505115621027
90.34,0.9971505115621027
90.35000000000001,0.9971505115621027
90.36,0.9971505115621027
90.37,0.9971505115621027
90.38,0.9971505115621027
90.39,0.9971505115621027
90.4,0.9971505115621027
90.41,0.9971505115621027
90.42,0.9971505115621027
90.43,0.9971505115621027
90.44,0.9971505115621027
90.45,0.9971505115621027
90.46000000000001,0.9971505115621027
90.47,0.9971505115621027
90.48,0.9971505115621027
90.49,0.9971505115621027
90.5,0.9971505115621027
90.51,0.9971505115621027
90.52,0.9971505115621027
90.53,0.9971505115621027
90.54,0.9971505115621027
90.55,0.9971505115621027
90.56,0.9971505115621027
90.57000000000001,0.9971505115621027
90.58,0.9971505115621027
90.59,0.9971505115621027
90.60000000000001,0.9971505115621027
90.61,0.9971505115621027
90.62,0.9971505115621027
90.63,0.9971505115621027
90.64,0.9971505115621027
90.65,0.9971505115621027
90.66,0.9971505115621027
90.67,0.9971505115621027
90.68,0.9971505115621027
90.69,0.9971505115621027
90.7,0.9971505115621027
90.71000000000001,0.9971505115621027
90.72,0.9971505115621027
90.73,0.9971505115621027
90.74,0.9971505115621027
90.75,0.9971505115621027
90.76,0.9971505115621027
90.77,0.9971505115621027
90.78,0.9971505115621027
90.79,0.9971505115621027
90.8,0.9971505115621027
90.81,0.9971505115621027
90.82000000000001,0.9971505115621027
90.83,0.9971505115621027
90.84,0.9971505115621027
90.85000000000001,0.9971505115621027
90.86,0.9971505115621027
90.87,0.9971505115621027
90.88,0.9971505115621027
90.89,0.9971505115621027
90.9,0.9971505115621027
90.91,0.9971505115621027
90.92,0.9971505115621027
90.93,0.9971505115621027
90.94,0.9971505115621027
90.95,0.9971505115621027
90.96000000000001,0.9971505115621027
90.97,0.9971505115621027
90.98,0.9971505115621027
90.99,0.9971505115621027
91,0.9971505115621027
91.01,0.9971505115621027
91.02,0.9971505115621027
91.03,0.9971505115621027
91.04,0.9971505115621027
91.05,0.9971505115621027
91.06,0.9971505115621027
91.07000000000001,0.9971505115621027
91.08,0.9971505115621027
91.09,0.9971505115621027
91.10000000000001,0.9971505115621027
91.11,0.9971505115621027
91.12,0.9971505115621027
91.13,0.9971505115621027
91.14,0.9971505115621027
91.15,0.9971505115621027
91.16,0.9971505115621027
91.17,0.9971505115621027
91.18,0.9971505115621027
91.19,0.9971505115621027
91.2,0.9971505115621027
91.21000000000001,0.9971505115621027
91.22,0.9971505115621027
91.23,0.9971505115621027
91.24,0.9971505115621027
91.25,0.9971505115621027
91.26,0.9971505115621027
91.27,0.9971505115621027
91.28,0.9971505115621027
91.29,0.9971505115621027
91.3,0.9971505115621027
91.31,0.9971505115621027
91.32000000000001,0.9971505115621027
91.33,0.9971505115621027
91.34,0.9971505115621027
91.35000000000001,0.9971505115621027
91.36,0.9971505115621027
91.37,0.9971505115621027
91.38,0.9971505115621027
91.39,0.9971505115621027
91.4,0.9971505115621027
91.41,0.9971505115621027
91.42,0.9971505115621027
91.43,0.9971505115621027
91.44,0.9971505115621027
91.45,0.9971505115621027
91.46000000000001,0.9971505115621027
91.47,0.9971505115621027
91.48,0.9971505115621027
91.49,0.9971505115621027
91.5,0.9971505115621027
