% Model,2D_turn.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 1 2025, 22:49"
% Table,Table 1 - Outlet Concentration
% Time (s),"Molar concentration, c (mol/m^3)"
0.00372,3.4134150177339773E-38
0.0037300000000000002,2.939647674205411E-38
0.0037400000000000003,2.4068040979482305E-38
0.0037500000000000003,1.8148842889624357E-38
0.0037600000000000003,1.1638882472480268E-38
0.0037700000000000003,4.5381597280500445E-39
0.0037800000000000004,-3.153325343666323E-39
0.0037900000000000004,-1.1435572742668831E-38
0.0038000000000000004,-2.0308582468957481E-38
0.0038100000000000005,-2.943410376440548E-38
0.0038200000000000005,-3.669210461313104E-38
0.0038300000000000005,-4.4172349642703043E-38
0.0038400000000000005,-5.187483885312144E-38
0.00385,-5.979957224438594E-38
0.00386,-6.794654981649721E-38
0.00387,-7.631577156945487E-38
0.00388,-8.490723750325898E-38
0.0038900000000000002,-9.372094761790951E-38
0.0039000000000000003,-1.0275690191340646E-37
0.00391,-1.1201510038974984E-37
0.003920000000000001,-1.2149554304694009E-37
0.00393,-1.311982298849759E-37
0.00394,-1.4112316090385806E-37
0.00395,-1.483454138704039E-37
0.00396,-1.4393317589609753E-37
0.0039700000000000004,-1.3781667819615518E-37
0.00398,-1.2999592077057798E-37
0.0039900000000000005,-1.2047090361936453E-37
0.004,-1.092416267425165E-37
0.0040100000000000005,-9.630809014003196E-38
0.00402,-8.16702938119131E-38
0.004030000000000001,-6.532823775815748E-38
0.00404,-4.728192197876786E-38
0.004050000000000001,-2.753134647374114E-38
0.00406,-6.076511243080675E-39
0.004070000000000001,1.7082583713217163E-38
0.00408,4.194593839514841E-38
0.004090000000000001,6.712914247068066E-38
0.0041,9.034917444841174E-38
0.00411,1.146222026321856E-37
0.00412,1.3994822702200434E-37
0.00413,1.663272476178637E-37
0.0041400000000000005,1.9375926441976816E-37
0.00415,2.2224427742771306E-37
0.0041600000000000005,2.517822866417033E-37
0.00417,2.823732920617337E-37
0.0041800000000000006,3.1401729368780966E-37
0.00419,3.4671429151992565E-37
0.004200000000000001,3.804642855580871E-37
0.00421,4.152672758022887E-37
0.004220000000000001,4.5112326225253615E-37
0.00423,4.7416679410429645E-37
0.004240000000000001,4.7245364788020865E-37
0.00425,4.667336591768334E-37
0.004260000000000001,4.5700682799417E-37
0.00427,4.432731543322199E-37
0.00428,4.255326381909824E-37
0.00429,4.037852795704556E-37
0.0043,3.780310784706432E-37
0.0043100000000000005,3.4827003489154073E-37
0.00432,3.1450214883315345E-37
0.0043300000000000005,2.7672742029547514E-37
0.00434,2.349458492785129E-37
0.004350000000000001,1.891574357822591E-37
0.00436,1.3936217980672175E-37
0.004370000000000001,8.455818253737355E-38
0.00438,2.4387388629723537E-38
0.004390000000000001,-4.0088259028762996E-38
0.0044,-1.0886876043807456E-37
0.004410000000000001,-1.8195411559822316E-37
0.00442,-2.593443245091965E-37
0.004430000000000001,-3.410393871710075E-37
0.00444,-4.270393035836422E-37
0.00445,-5.173440737471076E-37
0.00446,-6.119536976614116E-37
0.00447,-7.108681753265386E-37
0.0044800000000000005,-8.14087506742505E-37
0.00449,-9.216116919092935E-37
0.0045000000000000005,-1.0334407308269222E-36
0.00451,-1.1034090133092325E-36
0.004520000000000001,-1.131190394595201E-36
0.00453,-1.151708310473945E-36
0.004540000000000001,-1.1649627609454674E-36
0.00455,-1.1709537460097662E-36
0.004560000000000001,-1.169681265666843E-36
0.00457,-1.1611453199166971E-36
0.004580000000000001,-1.1453459087593283E-36
0.00459,-1.1222830321947379E-36
0.004600000000000001,-1.091956690222922E-36
0.00461,-1.0543668828438871E-36
0.00462,-1.0095136100576296E-36
0.0046300000000000004,-9.573968718641457E-37
0.00464,-8.980166682634436E-37
0.0046500000000000005,-8.076369159619224E-37
0.00466,-6.922051991595328E-37
0.0046700000000000005,-5.643795833930331E-37
0.00468,-4.241600686624463E-37
0.004690000000000001,-2.7154665496774673E-37
0.0047,-1.0653934230896192E-37
0.004710000000000001,7.086186931393677E-38
0.00472,2.606569799009191E-37
