% Model,COMSOL_3D_CNN_Design_3_1_Phase_1.mph
% Version,COMSOL 6.3.0.420
% Date,"Dec 6 2025, 16:19"
% Table,Table 4 - Concentration_Outlet_Pipe_1
% Time (s),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3)
4.55,2.8151373717653363E-4,2.8006733297943477E-4,2.754412036214315E-4,2.8558401368896735E-4,1.517870407589847E-4,5.604249036157416E-5,1.1449627541795353E-5
4.6000000000000005,2.8388649287506277E-4,2.8209959790136363E-4,2.7782426382507347E-4,2.8797807979720626E-4,1.5456336343261105E-4,5.840732515434747E-5,1.2236291680480639E-5
4.65,2.861639716782667E-4,2.8413186282329206E-4,2.801041937355451E-4,2.9022832897495894E-4,1.573396861062374E-4,6.0816131811223545E-5,1.305672633989226E-5
4.7,2.8834617358614495E-4,2.8616412774522086E-4,2.82280993352847E-4,2.923347612222252E-4,1.6011600877986371E-4,6.326891033220223E-5,1.391093150316042E-5
4.75,2.90433098598698E-4,2.8819639266714923E-4,2.8435466267697884E-4,2.9429737653900495E-4,1.6289233145348988E-4,6.576566071728369E-5,1.4798907170285116E-5
4.800000000000001,2.9242474671592505E-4,2.9022865758907804E-4,2.8632520170794064E-4,2.961161749252984E-4,1.6566865412711613E-4,6.830638296646786E-5,1.5720653341266334E-5
4.8500000000000005,2.9432111793782737E-4,2.9226092251100674E-4,2.8819261044573237E-4,2.9779115638110527E-4,1.6844497680074239E-4,7.085532894804102E-5,1.6676170016104084E-5
4.9,2.961222122644042E-4,2.93425440052532E-4,2.8995688889035435E-4,2.9932232090642576E-4,1.712212994743687E-4,7.337405920753798E-5,1.7665457194798375E-5
4.95,2.9782802969565526E-4,2.9440428674045035E-4,2.9161803704180604E-4,3.007096685012598E-4,1.7399762214799516E-4,7.592464934950938E-5,1.8688514877349182E-5
5,2.9943857023158094E-4,2.9538313342836864E-4,2.9317605490008787E-4,3.020315731671229E-4,1.7677394482162125E-4,7.85070993739552E-5,1.9745343063756536E-5
5.050000000000001,3.009538338721816E-4,2.963619801162869E-4,2.9469094709673845E-4,3.033588211144308E-4,1.795502674952476E-4,8.11214092808757E-5,2.0835941754020432E-5
5.1000000000000005,3.024138802517575E-4,2.9734082680420523E-4,2.961387803906425E-4,3.04570268139504E-4,1.8232659016887386E-4,8.376757907027047E-5,2.1960310948140845E-5
5.15,3.038868116553402E-4,2.983196734921237E-4,2.9749336655020763E-4,3.0566591424234307E-4,1.8461881377865668E-4,8.644560874213975E-5,2.3118450646117775E-5
5.2,3.052786166127914E-4,2.992985201800418E-4,2.9875470557543367E-4,3.06645759422947E-4,1.8661289265918028E-4,8.91554982964835E-5,2.431036084795126E-5
5.25,3.0658929513419824E-4,3.0027736686796005E-4,2.999227974663209E-4,3.075098036813163E-4,1.8860697153970385E-4,9.189724773330185E-5,2.553604155364126E-5
5.300000000000001,3.078188472195604E-4,3.012562135558785E-4,3.0099764222286897E-4,3.0825804701745086E-4,1.9060105042022744E-4,9.467085705259462E-5,2.6795492763187832E-5
5.3500000000000005,3.089672728688785E-4,3.022350602437968E-4,3.01979239845078E-4,3.0889048943135084E-4,1.925951293007509E-4,9.747632625436182E-5,2.8115607174704308E-5
5.4,3.1003457208215166E-4,3.0321390693171515E-4,3.0286759033294796E-4,3.094071309230164E-4,1.9458920818127447E-4,1.0031365533860348E-4,2.9498403155171903E-5
5.45,3.110207448593805E-4,3.041927536196333E-4,3.036626936864787E-4,3.098079714924473E-4,1.9658328706179798E-4,1.0318284430531964E-4,3.0921331795568014E-5
5.5,3.119257912005649E-4,3.0517160030755174E-4,3.0436454990567064E-4,3.100930111396432E-4,1.985773659423215E-4,1.0608389315451026E-4,3.238439309589259E-5
5.550000000000001,3.1274971110570494E-4,3.0615044699546987E-4,3.049731589905235E-4,3.102622498646045E-4,2.0057144482284495E-4,1.0901680188617548E-4,3.3887587056145655E-5
5.6000000000000005,3.134925045748005E-4,3.070089914347228E-4,3.0548852094103735E-4,3.103156876673315E-4,2.0256552370336863E-4,1.1198157050031509E-4,3.543091367632717E-5
5.65,3.1415417160785166E-4,3.0766093909489616E-4,3.0591063575721196E-4,3.102533245478234E-4,2.0455960258389204E-4,1.1497819899692915E-4,3.701437295643715E-5
5.7,3.1473471220485813E-4,3.0831288675506975E-4,3.062395034390478E-4,3.1007516050608085E-4,2.065536814644157E-4,1.1788716255839108E-4,3.8637964896475636E-5
5.75,3.152341263658202E-4,3.0896483441524345E-4,3.064751239865445E-4,3.099600633417631E-4,2.085436191208832E-4,1.2080028152941632E-4,4.030168949644253E-5
5.800000000000001,3.156524140907381E-4,3.0961678207541704E-4,3.0661749739970223E-4,3.097769769387811E-4,2.1029315315322192E-4,1.2372996549027906E-4,4.200554675633797E-5
5.8500000000000005,3.1598957537961117E-4,3.102687297355904E-4,3.066666236785209E-4,3.095043527282651E-4,2.1200682262848192E-4,1.2667621444097923E-4,4.3749536676161835E-5
5.9,3.1624561023244E-4,3.1085251860328144E-4,3.067208161896874E-4,3.0914219071021524E-4,2.1368462761163232E-4,1.29639028381517E-4,4.55336592559142E-5
5.95,3.1642051864922435E-4,3.1137259080454437E-4,3.0675958767818176E-4,3.086904908846315E-4,2.153265681026734E-4,1.326184073118923E-4,4.735791449559499E-5
6,3.16514300629964E-4,3.1189266300580746E-4,3.067233717251352E-4,3.0822200648815374E-4,2.1693264410160536E-4,1.3555435459234157E-4,4.922230239520433E-5
6.050000000000001,3.1652695617465944E-4,3.1237176946767494E-4,3.06612168330548E-4,3.077786298248204E-4,2.184936548986999E-4,1.3844207307974285E-4,5.112682295474208E-5
6.1000000000000005,3.1650326144330493E-4,3.1282255594101304E-4,3.064259774944201E-4,3.0729655524758584E-4,2.1998128086730262E-4,1.413169679366605E-4,5.3071666062451125E-5
6.15,3.1641254960588936E-4,3.132267929945128E-4,3.0616479921675147E-4,3.0677675063545465E-4,2.2142016394034972E-4,1.4417903916309484E-4,5.506136105986745E-5
6.2,3.1631676867129884E-4,3.1361418321510025E-4,3.058887523855495E-4,3.0627597063115483E-4,2.2281030411705745E-4,1.470044332032457E-4,5.709392759761969E-5
6.25,3.1619530637835304E-4,3.139736103842565E-4,3.056101835174308E-4,3.057716570226723E-4,2.241517013974258E-4,1.4978610201986562E-4,5.917009039950233E-5
6.300000000000001,3.16059279430312E-4,3.143074746652629E-4,3.0532354576878604E-4,3.052841900960874E-4,2.2544435578145485E-4,1.525247379494186E-4,6.128737557597926E-5
6.3500000000000005,3.1591473573050493E-4,3.1461574473798056E-4,3.0502498471137796E-4,3.048157516991893E-4,2.2667921346668658E-4,1.5520928163495983E-4,6.344515620744075E-5
6.4,3.157576124625864E-4,3.149028179781905E-4,3.047252252665176E-4,3.04370244087277E-4,2.2784991962973954E-4,1.578407129555752E-4,6.564210320023141E-5
6.45,3.156048771539963E-4,3.15169514142915E-4,3.04426248199383E-4,3.0395028455787416E-4,2.2896552402788372E-4,1.6041361519219787E-4,6.78765574709349E-5
6.5,3.15457644279715E-4,3.154191871317612E-4,3.0413270857044476E-4,3.035600635518061E-4,2.3002602666111918E-4,1.629244241305099E-4,7.014709866053243E-5
6.550000000000001,3.153256285191478E-4,3.156543722165787E-4,3.0384917711669357E-4,3.0320027293828227E-4,2.3103142752944585E-4,1.6537027261551458E-4,7.245208808062892E-5
6.6000000000000005,3.1521578936174744E-4,3.1587744209940374E-4,3.0357837032789155E-4,3.0287337148940705E-4,2.3198101629942345E-4,1.677446446057572E-4,7.478965325934754E-5
6.65,3.151305579868642E-4,3.160906075148936E-4,3.0332263231510503E-4,3.0257897014089846E-4,2.3287454540610338E-4,1.7004624121102555E-4,7.715761372354276E-5
6.7,3.150755149878197E-4,3.162959014476236E-4,3.0308327028048446E-4,3.0231760705726305E-4,2.3371249631553865E-4,1.7227098106078667E-4,7.955356348774356E-5
6.75,3.1505831374805966E-4,3.1649524384578E-4,3.028620987961633E-4,3.0208834045777905E-4,2.34498074107727E-4,1.7441452983569828E-4,8.19749704044636E-5
6.800000000000001,3.1508037409426416E-4,3.1669106436502646E-4,3.0265974648005246E-4,3.0189023782145846E-4,2.3523087967945852E-4,1.764755750982374E-4,8.441933341221446E-5
6.8500000000000005,3.151460140257425E-4,3.1688404254866156E-4,3.024773833793999E-4,3.017214241735295E-4,2.3591067548448287E-4,1.7845144906674474E-4,8.688407272071093E-5
6.9,3.1526199600240317E-4,3.170755293499152E-4,3.023156352066527E-4,3.01581226337661E-4,2.3654391442464197E-4,1.8033907554098477E-4,8.93664431540419E-5
6.95,3.1542944644712286E-4,3.172669508482222E-4,3.021745838804021E-4,3.0146671948015494E-4,2.3712749207965307E-4,1.8213746912988427E-4,9.186352105502547E-5
7,3.1565200503330616E-4,3.1745973227800594E-4,3.02053840062103E-4,3.0137613127745035E-4,2.3766365839318453E-4,1.838449413575973E-4,9.437223103609668E-5
7.050000000000001,3.159333876046619E-4,3.176553223138681E-4,3.0195292185728075E-4,3.0130897448507593E-4,2.381579597613282E-4,1.8545967040195694E-4,9.688936759701148E-5
7.1000000000000005,3.162749102453345E-4,3.1785498400153955E-4,3.018714675758359E-4,3.0125837893551035E-4,2.386071840070139E-4,1.8698118182474422E-4,9.941162220015471E-5
7.15,3.166796458645017E-4,3.1806005512441854E-4,3.018077233755016E-4,3.0122825577825444E-4,2.3901866964457468E-4,1.8840866951026734E-4,1.0193560491836959E-4
