% Model,COMSOL_Three_Pipes_Phases_1_to_4.mph
% Version,COMSOL 6.3.0.420
% Date,"May 2 2026, 17:39"
% Table,Table 36 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3)
72.5,0.9184656307349579,0.8411911601268027,0.8860645646490508,0.8525477714302633,0.8651831579654755,0.8698031907726229
73,0.9246060219442506,0.8507553404851098,0.893458404217969,0.8616793943968032,0.8738617337829586,0.8782895644554699
73.5,0.9303281601227128,0.8598927309049191,0.9002886306763638,0.870224350333291,0.8821006041738614,0.88633202818005
74,0.935687288466869,0.8683454363796095,0.906495873209046,0.878117772447441,0.8898944120787896,0.8939284815818743
74.5,0.9406511069378147,0.8763244036524356,0.9121270483398811,0.8855924263815727,0.8972452451598456,0.9010827548810103
75,0.9452196155355396,0.8837599138911738,0.9177582234707179,0.8927919631997702,0.9041681151661243,0.907813001351199
75.5,0.9494976713539741,0.8908705705615828,0.9231574519118362,0.8988209188158257,0.9105217525275721,0.9139955501227027
76,0.9534474095546216,0.896944242345813,0.9277545973461886,0.9048061779881313,0.9161651792656286,0.9194530963039496
76.5,0.9570586790514057,0.9030179141300448,0.9323517427805418,0.910791437160419,0.9216418032830863,0.9247637899551832
77,0.9604074615753833,0.9090915859142715,0.9369488882149004,0.9160610815087966,0.9266201410400311,0.9295723994021872
77.5,0.9635168696315044,0.9142619360235593,0.94073928279254,0.9210016766970903,0.9314250642893066,0.9342260744709007
78,0.9663514592410128,0.9192918458476224,0.9444680790494727,0.9259422718853912,0.9358161468262304,0.9384618766255918
78.5,0.9689676894089841,0.924321755671684,0.9481968753063944,0.9305253439615756,0.9398902835852077,0.9424117678904939
79,0.971479336286145,0.9288347000234999,0.951469610597037,0.9345853920257545,0.9433486122602479,0.9457389586626166
79.5,0.9738076525570454,0.9329831028223161,0.9544788545178232,0.9386454400899332,0.94680694093529,0.9490661494347403
80,0.9759526382216581,0.9371315056211288,0.957488098438601,0.9426120368722036,0.9502652696103253,0.9523933402068643
80.5,0.977914293279994,0.9410528179002408,0.9602971803194744,0.9459364132294285,0.9534017144698346,0.9554267539403232
81,0.9796926177320545,0.94446263065038,0.9627152109003232,0.9492607895866556,0.9561093705062808,0.9580250395617428
81.5,0.9812876115778442,0.9478724434005219,0.9651332414811843,0.9525851659438841,0.9588170265427286,0.9606233251831577
82,0.9828410421138748,0.9512646608868712,0.9675303711968327,0.9553896773017508,0.9615246825791726,0.9632216108045673
82.5,0.98429103626871,0.9540565185742835,0.9694658231323325,0.9581010293092025,0.9639219558213115,0.9655345946570524
83,0.9856062165659661,0.9568483762617039,0.9714012750678389,0.9608123813166555,0.9660301765559975,0.9675523019277686
83.5,0.9867865830056541,0.9596402339491293,0.973336727003348,0.9632339108805485,0.9681383972906696,0.9695700091984908
84,0.9878321355877762,0.9620458707897052,0.9749794736508357,0.9654359427668093,0.9702466180253483,0.971587716469204
84.5,0.9887428743123231,0.9643224113231854,0.9765236398221427,0.9676379746530702,0.9720665180747503,0.9733392830515764
85,0.9895638675941547,0.9665989518566696,0.9780678059934591,0.9697179342476562,0.9736995816182704,0.9748979532690252
85.5,0.9904179426079497,0.9686739305049814,0.9794691361568655,0.9714990889772206,0.9753326451617989,0.9764566234864658
86,0.9911901364504623,0.970522062876913,0.9806978584037226,0.9732802437067967,0.9769657087053252,0.9780152937039148
86.5,0.9918804491216651,0.9723701952488442,0.9819265806505861,0.9750575775328452,0.9783383068049428,0.9793335373504819
87,0.9924888806215704,0.9741046019889154,0.9831155261608581,0.9764928632043195,0.9795970244930052,0.9805323690105007
87.5,0.9930154309501831,0.9753588630077276,0.9840917920498666,0.9779281488757998,0.9808557421810642,0.9817312006705256
88,0.9934601001074976,0.9766131240265321,0.9850680579388693,0.9793634345472958,0.9821144598691315,0.9829300323305575
88.5,0.993913157198769,0.977867385045341,0.986044323827874,0.9804542184390972,0.9831443149498036,0.9839174495966192
89,0.9943521935973751,0.9791216460641501,0.9868471907757088,0.9814189066560842,0.9841114085516697,0.984836825557521
89.5,0.9947446626775195,0.9803759070829495,0.9876223697012275,0.9823835948730653,0.9850785021535272,0.9857562015184208
90,0.9950905644392027,0.9816301681017668,0.9883975486267399,0.9833482830900574,0.986045595755388,0.986675577479325
