% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 11:30"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
4.74,-1.0381242289144128E-57
4.75,-1.1114724758123719E-57
4.76,-1.1878288647426891E-57
4.7700000000000005,-1.275543210668671E-57
4.78,-1.404597863261668E-57
4.79,-1.5431765451035512E-57
4.8,-1.691279256194313E-57
4.8100000000000005,-1.8489059965339516E-57
4.82,-2.0160567661224797E-57
4.83,-2.1927315649598924E-57
4.84,-2.378930393046168E-57
4.8500000000000005,-2.574653250381344E-57
4.86,-2.7799001369654297E-57
4.87,-2.994671052798327E-57
4.88,-3.2189659978801846E-57
4.89,-3.452784972210885E-57
4.9,-3.7369053353016775E-57
4.91,-4.163711174283469E-57
4.92,-4.6241124421195146E-57
4.93,-5.118109138809788E-57
4.94,-5.645701264354291E-57
4.95,-6.206888818753043E-57
4.96,-6.801671802005907E-57
4.97,-7.430050214113089E-57
4.98,-8.092024055074473E-57
4.99,-8.787593324889914E-57
5,-9.516758023559685E-57
5.01,-1.0279518151083712E-56
5.0200000000000005,-1.1075873707461966E-56
5.03,-1.211060812161883E-56
5.04,-1.3681314886606728E-56
5.05,-1.5382653532291132E-56
5.0600000000000005,-1.7214624058671977E-56
5.07,-1.9177226465749024E-56
5.08,-2.127046075352234E-56
5.09,-2.3494326921991994E-56
5.1000000000000005,-2.584882497115816E-56
5.11,-2.8333954901020276E-56
5.12,-3.0949716711579253E-56
5.13,-3.3696110402834166E-56
5.14,-3.6573135974785365E-56
5.15,-3.958079342743343E-56
5.16,-4.376895457054842E-56
5.17,-5.008692263551347E-56
5.18,-5.695040430425474E-56
5.19,-6.4359399576773875E-56
5.2,-7.231390845306994E-56
5.21,-8.081393093314316E-56
5.22,-8.985946701699351E-56
5.23,-9.94505167046223E-56
5.24,-1.0958707999602608E-55
5.25,-1.2026915689120799E-55
5.26,-1.3149674739016706E-55
5.2700000000000005,-1.4326985149290463E-55
5.28,-1.5558846919941734E-55
5.29,-1.7388104068751753E-55
5.3,-2.0090698564634336E-55
5.3100000000000005,-2.3031579910924093E-55
5.32,-2.6210748107620334E-55
5.33,-2.962820315472383E-55
