% Model,COMSOL_3D_CNN_Design_1_2_Phase_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 16 2025, 15:53"
% Table,Table 5 - Concentration_Outlet_Pipe_2
% Time (s),Concentration_Outlet_Pipe_2 (mol/m^3),Concentration_Outlet_Pipe_2 (mol/m^3),Concentration_Outlet_Pipe_2 (mol/m^3),Concentration_Outlet_Pipe_2 (mol/m^3)
11.950000000000001,2.48423413134782,2.511581293652066,2.511581293652066,2.4950676610880143
12,2.48423982640458,2.5097767042819337,2.5097767042819337,2.4950887702202222
12.05,2.4842497870216733,2.508306873303048,2.508306873303048,2.4951028198575993
12.100000000000001,2.4842632033685708,2.5071382340384867,2.5071382340384867,2.4951111488277826
12.15,2.4842800754452803,2.5062896778087485,2.5062896778087485,2.4951073274859707
12.200000000000001,2.484300962179001,2.505693253709927,2.505693253709927,2.4950913558321557
12.25,2.4843384834130635,2.50532537568735,2.50532537568735,2.4950782042770703
12.3,2.484384361134479,2.505213144422419,2.505213144422419,2.4950636677599505
12.350000000000001,2.484438595343252,2.505165818311883,2.505165818311883,2.4950449443818745
12.4,2.4845011860393877,2.5052588687216684,2.5052588687216684,2.4950220341428424
12.450000000000001,2.4846151465213397,2.5054604668838314,2.5054604668838314,2.495008063379088
12.5,2.484754785678818,2.505654200390754,2.505654200390754,2.4949960427592095
12.55,2.484919911100093,2.5059037247557354,2.5059037247557354,2.4949855289172507
12.600000000000001,2.4851105227851598,2.5061556343204527,2.5061556343204527,2.4949766006743626
12.65,2.485428735267702,2.5063851903843384,2.5063851903843384,2.494970012399834
12.700000000000001,2.4858213087156353,2.506616692174631,2.506616692174631,2.4949652906875945
12.75,2.4862829232417702,2.5067965795623506,2.5067965795623506,2.4949624355376505
12.8,2.4868135788461054,2.506943314955123,2.506943314955123,2.494961249248214
12.850000000000001,2.487636067491715,2.507061099926495,2.507061099926495,2.4949611418524325
12.9,2.488653234594971,2.5071542381357266,2.5071542381357266,2.4949625342273243
12.950000000000001,2.4898415903316797,2.5072204375336753,2.5072204375336753,2.494965426372899
13,2.4912011347018455,2.5072674947502147,2.5072674947502147,2.4949701880942823
13.05,2.493178148307022,2.5073000266049785,2.5073000266049785,2.4949772698445294
13.100000000000001,2.495621114964855,2.507314001709715,2.507314001709715,2.4949862706922548
13.15,2.498456119727298,2.5073223842217374,2.5073223842217374,2.494997190637467
13.200000000000001,2.5016831625943587,2.507321412303022,2.507321412303022,2.495012193055491
13.25,2.5061323756219216,2.5073122369352903,2.5073122369352903,2.495032134533394
13.3,2.5116134607331135,2.5073050130174206,2.5073050130174206,2.4950557288940693
13.350000000000001,2.517932052330878,2.5072944621357722,2.5072944621357722,2.4950829761375184
