% Model,COMSOL_3D_CNN_Design_1_2_Phase_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 16 2025, 14:47"
% Table,Table 4 - Concentration_Outlet_Pipe_1
% Time (s),Concentration_Outlet_Pipe_1 (mol/m^3),Concentration_Outlet_Pipe_1 (mol/m^3),Concentration_Outlet_Pipe_1 (mol/m^3)
5.5,6.915308595852323E-7,1.7554504664826255E-6,2.9827340309362056E-14
5.550000000000001,1.319925549162077E-6,3.2358795849054E-6,6.637763523898417E-14
5.6000000000000005,2.4651443786479846E-6,5.900801112392911E-6,1.4866753087677133E-13
5.65,4.511671047611545E-6,1.0318576427469476E-5,3.1134927313781557E-13
5.7,8.10727605086576E-6,1.8355406449785808E-5,6.62793780579506E-13
5.75,1.4369331180109973E-5,3.201282869491698E-5,1.4264304776774775E-12
5.800000000000001,2.561298027270998E-5,5.3909723186257056E-5,2.8921599895762646E-12
5.8500000000000005,4.4792750012074135E-5,9.253973843298654E-5,5.907195694580491E-12
5.9,7.696708918011376E-5,1.548960950593973E-4,1.2236111122892981E-11
5.95,1.3016179608462785E-4,2.5182698233230965E-4,2.4034688140887375E-11
6,2.17499344318497E-4,4.172216080900814E-4,4.722284724876992E-11
6.050000000000001,3.636064366746344E-4,6.722133752549039E-4,9.42919496653169E-11
6.1000000000000005,5.977742260723027E-4,0.0010590919309959443,1.7956664289021784E-10
6.15,9.676672169470437E-4,0.001691206043905545,3.4020888899826026E-10
6.2,0.0015445453072293358,0.0026292855490544225,6.559709905026389E-10
6.25,0.0024386781760904587,0.004025978624465707,1.2126562187211268E-9
6.300000000000001,0.0038377778415781233,0.006192027850245715,2.221794811276865E-9
6.3500000000000005,0.005950702092725403,0.009308356896293847,4.153872302617996E-9
6.4,0.009100902074792272,0.013847937562399302,7.494804094916445E-9
6.45,0.01392413595036377,0.020560571668115372,1.3394745100335953E-8
6.5,0.02229995244560537,0.029937900173274867,2.455965361508476E-8
6.550000000000001,0.033879064302137094,0.043266921349867773,4.3556156275693574E-8
6.6000000000000005,0.0515091961140548,0.062136608227647515,7.618511234845832E-8
6.65,0.07567363318627546,0.0877604748059378,1.3595126103590747E-7
6.7,0.10912526030848828,0.12321652451113838,2.3487887967706997E-7
6.75,0.15684222602090883,0.17144790770581256,3.990948704535772E-7
6.800000000000001,0.21843344004934068,0.2351576078244325,6.921589300519005E-7
6.8500000000000005,0.3066133546583297,0.32080170868793884,1.1659104126335019E-6
6.9,0.4158514412993526,0.43310552606711367,1.92904342005731E-6
6.95,0.5684177394461786,0.5774574335564783,3.2531716224996192E-6
7,0.7576140411230198,0.765677067192465,5.342138657425051E-6
7.050000000000001,1.0040181003731277,1.0042329484607182,8.610474443133964E-6
7.1000000000000005,1.3134405403117855,1.3026166196702136,1.4126654702485683E-5
7.15,1.6959330190464674,1.6794847277782023,2.262381559625374E-5
7.2,2.175735773013792,2.1421786797228854,3.555557297833085E-5
7.25,2.7473193251341317,2.7052082259183985,5.679098317260862E-5
7.300000000000001,3.4553081750062997,3.3933620644295077,8.87422896339079E-5
7.3500000000000005,4.280452816330266,4.213123180604133,1.362755865540021E-4
7.4,5.275104488940327,5.183682807360166,2.1177979573852715E-4
7.45,6.424618648084204,6.32957524480795,3.230409251264398E-4
7.5,7.7588489054937115,7.656179331459424,4.8500358858710735E-4
7.550000000000001,9.287832897327162,9.182736677750263,7.33902956092065E-4
7.6000000000000005,11.014837930410698,10.92415199730077,0.0010932436834312257
7.65,12.96086263387313,12.883911970646576,0.0016051288902580348
7.7,15.116275016244805,15.07185209619036,0.0023673160644412075
7.75,17.490792743975902,17.47342725232681,0.003445198374786079
7.800000000000001,20.08025817255056,20.087655339025456,0.00494787365314956
7.8500000000000005,22.863250691835844,22.915665998501446,0.007118615166131158
7.9,25.845299915836446,25.908645841955092,0.010505782191498286
7.95,28.98992184682142,29.07388669684574,0.015660389663698246
8,32.283900877994796,32.41718113579288,0.02237746984539664
8.05,35.70576781706347,35.81267107539052,0.032140255246703234
8.1,39.19862482251759,39.32032701779379,0.04538170964534153
8.15,42.77713031174589,42.90090108420771,0.06148249801017668
8.200000000000001,46.333859351339555,46.43671808626683,0.08580868947621977
8.25,49.91440374953277,49.993941681638034,0.11625855741608637
8.3,53.39988305111518,53.487841894127065,0.15481072517794955
8.35,56.81834996288702,56.85398449392989,0.20821464275470528
8.4,60.10444385275657,60.14439727318769,0.2727878276796859
8.450000000000001,63.22935094897214,63.24334129961073,0.35679816192622643
8.5,66.18589843976167,66.15851924949763,0.4641576765125744
8.55,68.91588396152939,68.91179987617357,0.5910648961371525
8.6,71.44267884188615,71.40083564011647,0.7582352707628628
8.65,73.7141500185065,73.6740325311721,0.9586167327615673
8.700000000000001,75.75224797942332,75.72336213386608,1.1971538071358223
8.75,77.54252455116023,77.52272969630893,1.497097801175344
8.8,79.08806009807363,79.08662796413722,1.8460907425900364
8.85,80.4037490215952,80.42747129435607,2.2639882080553595
8.9,81.49558362925119,81.55558488911622,2.762767557138658
8.950000000000001,82.37636232990879,82.46291512614074,3.3320565593796987
9,83.08003227382775,83.20316343155264,4.010867618900509
9.05,83.59704959700954,83.7745437587645,4.78805924856001
9.1,83.9949661287958,84.16587635124313,5.667952342499204
9.15,84.24556128330102,84.47714463634371,6.685978278217948
9.200000000000001,84.41875142980882,84.66140515907485,7.823754944516313
9.25,84.5012664525893,84.73951976019467,9.099373074146216
9.3,84.52639502884833,84.78513351935402,10.526375055960806
9.35,84.51313748496327,84.75782511979763,12.094050811623246
9.4,84.46185352982104,84.69242205422604,13.821018156458397
9.450000000000001,84.40393771349954,84.6205108706809,15.703055323633002
9.5,84.3264103211206,84.51822435764868,17.73770642009533
9.55,84.25658799502521,84.42015471416802,19.923308038243945
9.600000000000001,84.18314675611887,84.32634598339047,22.260704008721987
9.65,84.11885342915387,84.22852475483012,24.7356102482167
9.700000000000001,84.0615919897684,84.14975480319683,27.334997816512104
9.75,84.01282418709611,84.07940270558437,30.068437348748514
9.8,83.97399525256685,84.0184260305654,32.88516603770029
9.850000000000001,83.94370602671628,83.97078707749145,35.79348253465278
9.9,83.92131091207632,83.93433567036719,38.790279357990286
9.950000000000001,83.90680091416485,83.90731005794517,41.79796334022254
10,83.8965264731075,83.88797227886764,44.85507857901844
10.05,83.89198898837016,83.87759765518291,47.917841623598605
10.100000000000001,83.88960737272217,83.8713180736529,50.938197997102925
10.15,83.88988657757771,83.86895285238498,53.949338472130535
10.200000000000001,83.89152082647628,83.87175383131363,56.868707456855915
10.25,83.89352790682246,83.87388180027499,59.70416529064679
10.3,83.89615782962498,83.87790962013868,62.462005728409515
10.350000000000001,83.89832841442977,83.88330482523638,65.05712944235853
10.4,83.90052967680727,83.88749606259167,67.53098151564484
10.450000000000001,83.90224587524268,83.89186347841643,69.85740337395256
10.5,83.90368758608189,83.89591785071967,72.00213816626726
10.55,83.90486334226104,83.89913533893123,73.98763842295702
10.600000000000001,83.90577215777306,83.90189005361813,75.78883150994578
10.65,83.90650674360047,83.90416021195924,77.40625241090426
10.700000000000001,83.90712591624084,83.90594419451662,78.8454604963466
10.75,83.9076255725518,83.907248008779,80.10756741788646
10.8,83.9080977883671,83.90836634726905,81.19204182132779
10.850000000000001,83.90850096659292,83.9091755550441,82.11047321831244
10.9,83.90888000491748,83.90971236235023,82.88087708047551
10.950000000000001,83.9092167081086,83.91017886516343,83.49196944369558
11,83.9095025348654,83.91046773337607,83.98295985210281
11.05,83.90973824840712,83.91063625402788,84.35615693086467
11.100000000000001,83.90991776235249,83.91075089017629,84.6043062668882
11.15,83.91003615577227,83.91076535771441,84.79372380352626
11.200000000000001,83.91009789572261,83.91073336308263,84.8932714973562
11.25,83.91010584484712,83.91066097749746,84.92397365351897
11.3,83.91005996826767,83.91053235075948,84.92452603295685
11.350000000000001,83.90998366811134,83.91040103992677,84.87163774333182
11.4,83.9098675303316,83.9102457301216,84.79951485592072
11.450000000000001,83.90974092881102,83.91007115659892,84.71316181159378
11.5,83.90960203117739,83.90991091744404,84.60288939199677
11.55,83.90946549600672,83.9097473510171,84.50367897072556
11.600000000000001,83.90934526719516,83.90959110673226,84.39938322130415
11.65,83.90923876488577,83.90945555202954,84.29577816544437
11.700000000000001,83.90916468372448,83.9093315943512,84.20545087400465
11.75,83.9091144536057,83.90922935891948,84.1210885930181
11.8,83.90909446747212,83.90915039797801,84.04783015720233
11.850000000000001,83.90910217240253,83.90909152003296,83.98691898373121
11.9,83.9091266549513,83.90905522613016,83.93656814479932
11.950000000000001,83.90916829263026,83.90904057656694,83.89678368915025
12,83.90921330755101,83.9090459831749,83.8675629346349
12.05,83.90924939511133,83.90906326141935,83.84768484486064
12.100000000000001,83.9092845220928,83.90909667125003,83.83399124363908
12.15,83.90931868849536,83.90913934358143,83.82825955203245
12.200000000000001,83.90935120383229,83.90918196069192,83.8269402053872
12.25,83.90936647781822,83.90923072254473,83.82880113435314
12.3,83.90937473693411,83.9092739921918,83.83525800252382
12.350000000000001,83.90937598117954,83.90930949783521,83.84130970091424
12.4,83.90937021055494,83.90934115022408,83.84893503498587
12.450000000000001,83.90936273325993,83.90936015599492,83.85753757261037
12.5,83.90935037879744,83.90936961740935,83.86479982671668
12.55,83.90933312342197,83.90937050513149,83.8719890232997
12.600000000000001,83.90931096713373,83.90936559831131,83.87834965459751
12.65,83.90929938271178,83.90935346427281,83.88353175244401
12.700000000000001,83.90929030305604,83.909338159133,83.8878790679576
12.75,83.90928292207705,83.90932562323303,83.89129384789601
12.8,83.909277239775,83.90931198472119,83.8938097882238
12.850000000000001,83.90927906951747,83.90930308429691,83.89552512751368
12.9,83.90928587622531,83.90930031733168,83.89678400041875
12.950000000000001,83.90929704697223,83.90930159426567,83.8974031272022
13,83.90931258175827,83.90930823219402,83.89766145089992
13.05,83.90932875431675,83.90931979756975,83.89772414925018
13.100000000000001,83.90934682974807,83.90933564493406,83.89744698971934
13.15,83.9093674252127,83.9093519698423,83.8971796544107
13.200000000000001,83.90939054071073,83.90937071530564,83.89682067529996
13.25,83.909414829119,83.9093908928704,83.89637721303494
13.3,83.90944059925003,83.90941094063412,83.89601513306373
13.350000000000001,83.90946816651653,83.90943185702339,83.89564822020544
13.4,83.90949753091844,83.9094561819185,83.89531276876855
13.450000000000001,83.90953454375179,83.90948463782897,83.89503549774987
